"tick","Expuestos","Infecciosos","Asintomaticos","Sintomaticos","Camas","Recuperados","Hospitalizados","Muertos"
1428.0,3234.0,189.0,82.0,107.0,8.0,2833.0,120.0,45.0
1440.0,3260.0,179.0,79.0,100.0,8.0,2872.0,120.0,45.0
1452.0,3293.0,173.0,72.0,101.0,9.0,2911.0,121.0,45.0
1464.0,3313.0,165.0,59.0,106.0,11.0,2948.0,123.0,45.0
1476.0,3337.0,160.0,54.0,106.0,11.0,2984.0,126.0,47.0
1488.0,3359.0,164.0,58.0,106.0,10.0,3016.0,127.0,47.0
1500.0,3380.0,163.0,56.0,107.0,10.0,3046.0,128.0,48.0
1512.0,3401.0,151.0,51.0,100.0,11.0,3083.0,129.0,48.0
1524.0,3417.0,150.0,53.0,97.0,11.0,3113.0,129.0,48.0
1536.0,3442.0,144.0,54.0,90.0,11.0,3142.0,131.0,49.0
1548.0,3469.0,139.0,54.0,85.0,12.0,3168.0,132.0,49.0
1560.0,3482.0,124.0,47.0,77.0,11.0,3201.0,132.0,49.0
1572.0,3496.0,110.0,45.0,65.0,10.0,3230.0,132.0,49.0
1584.0,3508.0,104.0,42.0,62.0,8.0,3256.0,133.0,50.0
1596.0,3524.0,102.0,40.0,62.0,7.0,3283.0,134.0,52.0
1608.0,3540.0,104.0,46.0,58.0,6.0,3306.0,134.0,53.0
1620.0,3565.0,98.0,45.0,53.0,6.0,3326.0,135.0,54.0
1632.0,3575.0,93.0,44.0,49.0,6.0,3344.0,135.0,54.0
1644.0,3603.0,88.0,40.0,48.0,7.0,3365.0,138.0,54.0
1656.0,3616.0,76.0,34.0,42.0,7.0,3388.0,138.0,54.0
1668.0,3629.0,77.0,33.0,44.0,6.0,3406.0,138.0,54.0
1680.0,3641.0,83.0,32.0,51.0,8.0,3422.0,140.0,54.0
1692.0,3654.0,81.0,35.0,46.0,7.0,3436.0,140.0,55.0
1704.0,3665.0,90.0,38.0,52.0,7.0,3447.0,141.0,56.0
1716.0,3687.0,97.0,38.0,59.0,8.0,3460.0,142.0,56.0
1728.0,3708.0,85.0,36.0,49.0,9.0,3480.0,143.0,56.0
1740.0,3721.0,85.0,32.0,53.0,8.0,3495.0,143.0,57.0
1752.0,3735.0,78.0,28.0,50.0,6.0,3515.0,144.0,59.0
1764.0,3746.0,74.0,27.0,47.0,6.0,3537.0,144.0,59.0
1776.0,3759.0,72.0,32.0,40.0,5.0,3552.0,144.0,59.0
1788.0,3775.0,82.0,35.0,47.0,4.0,3563.0,144.0,59.0
1800.0,3790.0,79.0,36.0,43.0,6.0,3579.0,146.0,59.0
1812.0,3801.0,82.0,40.0,42.0,6.0,3591.0,146.0,59.0
1824.0,3806.0,73.0,37.0,36.0,3.0,3607.0,146.0,61.0
1836.0,3809.0,69.0,28.0,41.0,4.0,3627.0,147.0,61.0
1848.0,3818.0,71.0,32.0,39.0,4.0,3644.0,147.0,61.0
1860.0,3829.0,67.0,31.0,36.0,4.0,3657.0,147.0,61.0
1872.0,3843.0,65.0,31.0,34.0,4.0,3670.0,148.0,61.0
1884.0,3849.0,62.0,28.0,34.0,4.0,3682.0,148.0,61.0
1896.0,3855.0,52.0,26.0,26.0,4.0,3694.0,148.0,61.0
1908.0,3867.0,41.0,21.0,20.0,4.0,3712.0,149.0,61.0
1920.0,3874.0,37.0,14.0,23.0,3.0,3725.0,149.0,62.0
1932.0,3878.0,45.0,17.0,28.0,2.0,3732.0,149.0,63.0
1944.0,3885.0,43.0,19.0,24.0,2.0,3741.0,149.0,63.0
1956.0,3889.0,45.0,20.0,25.0,2.0,3748.0,149.0,63.0
1968.0,3899.0,44.0,21.0,23.0,1.0,3756.0,149.0,63.0
1980.0,3906.0,43.0,17.0,26.0,2.0,3766.0,150.0,63.0
1992.0,3911.0,38.0,17.0,21.0,2.0,3776.0,150.0,63.0
2004.0,3919.0,35.0,13.0,22.0,1.0,3786.0,150.0,63.0
2016.0,3923.0,33.0,12.0,21.0,2.0,3795.0,151.0,63.0
2028.0,3926.0,37.0,13.0,24.0,2.0,3800.0,151.0,63.0
2040.0,3928.0,35.0,12.0,23.0,3.0,3805.0,152.0,63.0
