"Hogar","Trabajo","Ocio","Otros","tick"
46.0,28.0,16.0,8.0,936.0
46.0,27.0,17.0,8.0,948.0
49.0,39.0,8.0,2.0,960.0
48.0,38.0,9.0,3.0,972.0
49.0,38.0,8.0,3.0,984.0
50.0,37.0,8.0,3.0,996.0
50.0,37.0,9.0,2.0,1008.0
49.0,24.0,16.0,8.0,1020.0
48.0,25.0,17.0,8.0,1032.0
48.0,39.0,8.0,2.0,1044.0
50.0,38.0,8.0,2.0,1056.0
49.0,38.0,9.0,3.0,1068.0
49.0,38.0,8.0,2.0,1080.0
48.0,39.0,9.0,3.0,1092.0
50.0,23.0,18.0,8.0,1104.0
50.0,24.0,16.0,8.0,1116.0
48.0,40.0,8.0,2.0,1128.0
48.0,39.0,8.0,2.0,1140.0
47.0,39.0,9.0,2.0,1152.0
47.0,39.0,8.0,3.0,1164.0
48.0,39.0,9.0,3.0,1176.0
47.0,27.0,16.0,8.0,1188.0
48.0,26.0,16.0,8.0,1200.0
47.0,41.0,8.0,3.0,1212.0
47.0,40.0,8.0,3.0,1224.0
47.0,39.0,9.0,3.0,1236.0
47.0,40.0,8.0,3.0,1248.0
48.0,38.0,9.0,2.0,1260.0
47.0,28.0,16.0,7.0,1272.0
47.0,28.0,15.0,8.0,1284.0
48.0,39.0,8.0,3.0,1296.0
48.0,39.0,9.0,2.0,1308.0
48.0,39.0,8.0,3.0,1320.0
47.0,40.0,8.0,2.0,1332.0
49.0,38.0,8.0,2.0,1344.0
46.0,30.0,15.0,8.0,1356.0
48.0,28.0,15.0,7.0,1368.0
48.0,39.0,9.0,3.0,1380.0
48.0,39.0,8.0,2.0,1392.0
48.0,39.0,8.0,3.0,1404.0
48.0,39.0,9.0,2.0,1416.0
48.0,39.0,8.0,3.0,1428.0
48.0,27.0,16.0,7.0,1440.0
47.0,27.0,16.0,8.0,1452.0
48.0,39.0,9.0,2.0,1464.0
48.0,39.0,9.0,2.0,1476.0
49.0,39.0,8.0,2.0,1488.0
48.0,39.0,8.0,2.0,1500.0
48.0,39.0,8.0,3.0,1512.0
47.0,28.0,15.0,8.0,1524.0
47.0,29.0,15.0,7.0,1536.0
48.0,40.0,8.0,3.0,1548.0
48.0,39.0,8.0,3.0,1560.0
48.0,39.0,8.0,3.0,1572.0
48.0,39.0,9.0,3.0,1584.0
47.0,40.0,9.0,3.0,1596.0
47.0,27.0,16.0,7.0,1608.0
47.0,28.0,15.0,7.0,1620.0
47.0,40.0,8.0,2.0,1632.0
47.0,40.0,8.0,3.0,1644.0
48.0,39.0,9.0,2.0,1656.0
49.0,39.0,8.0,3.0,1668.0
48.0,39.0,9.0,2.0,1680.0
46.0,28.0,16.0,7.0,1692.0
47.0,28.0,16.0,7.0,1704.0
48.0,40.0,8.0,2.0,1716.0
49.0,38.0,9.0,3.0,1728.0
47.0,39.0,9.0,3.0,1740.0
48.0,38.0,9.0,2.0,1752.0
49.0,39.0,8.0,3.0,1764.0
47.0,28.0,15.0,7.0,1776.0
47.0,28.0,16.0,7.0,1788.0
48.0,39.0,9.0,3.0,1800.0
48.0,39.0,8.0,3.0,1812.0
48.0,39.0,8.0,3.0,1824.0
47.0,40.0,8.0,3.0,1836.0
49.0,38.0,8.0,2.0,1848.0
48.0,27.0,15.0,7.0,1860.0
47.0,28.0,15.0,8.0,1872.0
48.0,39.0,8.0,2.0,1884.0
49.0,39.0,8.0,3.0,1896.0
48.0,39.0,9.0,2.0,1908.0
48.0,39.0,9.0,2.0,1920.0
